Dataset,Rule_I,Rule_J,Effect_I,Effect_J,Similarity,Entity_Overlap,SMT_Result,Witness_Subject,Witness_Action,Witness_Resource,Witness_Env,Solve_Time_ms
Continue-A,RPSlist.0.0.3.r.1,RPSlist.1.0.1.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.1.0.1.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.2.0.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.3.0.3.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.4.0.3.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.5.0.0.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.01
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.6.0.3.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.7.0.3.3.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.3.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.8.0.4.3.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.9.0.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.10.0.0.2.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.11.0.2.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.12.0.0.2.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.13.0.1.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.14.0.4.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.15.0.5.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.4.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.4.r.2,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.4.r.3,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.4.r.4,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.16.0.5.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.4.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.4.r.2,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.4.r.3,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.4.r.4,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.3.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.3.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.17.0.1.5.3.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.2.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.4.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.4.r.2,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.4.r.3,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.4.r.4,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.5.0.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
Continue-A,RPSlist.0.0.3.r.1,RPSlist.18.0.2.5.1.r.1,Deny,Permit,0.8909,0.4286,SAT,user,access,resource,{},0.00
